Parent Service,API Name
Audit Trail Services,storePrivacyEnforcementTrail
Audit Trail Services,storeAdminActionTrail
Audit Trail Services,storeDataSubjectActionTrail
Audit Trail Services,storePolicyUpdateTrail
Audit Trail Services,fetchAnalyticsTrail
Audit Trail Services,fetchPrivacyStatement
Audit Trail Services,fetchPurposeAuditConsent
Audit Trail Services,getConsentPurposeList
Audit Trail Services,fetchDataSubjectAuditConsent
Audit Trail Services,fetchPIIAccessDetails
Audit Trail Services,fetchEnforcementLogs
Audit Trail Services,fetchDataSubjectRequestHistory
Audit Trail Services,fetchDataSubjectDataAccessRequestHistory
Audit Trail Services,fetchDataSubjectDataPortabilityRequestHistory
Audit Trail Services,fetchDataSubjectDataRectificationRequestHistory
Audit Trail Services,fetchDataSubjectDataErasureRequestHistory
Audit Trail Services,fetchDataSubjectDataRestrictRequestHistory
Audit Trail Services,fetchDataSubjectDataObjectRequestHistory
Audit Trail Services,storeLoginLogoutTrail
Audit Trail Services,fetchLoginLogoutDetails
Audit Trail Services,fetchDSActionDetails
Authentication Services,authenticate
Authentication Services,setTenantForUser
Authentication Services,login
Authentication Services,logout
Enforcement Services,getDecision
Enforcement Services,getPurposes
Masking Services,mask
Masking Services,unmask
Notification Services,generateNotification
Notification Services,fetchNotificationForId
Notification Services,fetchNotificationForDisplayId
Notification Services,fetchDisplayIDsForUserPendingTasks
Notification Services,fetchPendingNotificationsForUser
Notification Services,fetchPendingNotificationsForDataSubject
Policy Management Services,addDataSubjectConsent
Policy Management Services,updateDataSubjectConsent
Policy Management Services,updateConsentOnBehalf
Policy Management Services,updateLawfulPurposeConsent
Policy Management Services,fetchDataSubjectPolicyForAllPurpose
Policy Management Services,getConsentCountForUser
Policy Management Services,getPendingNotificationsForUser
Policy Management Services,fetchDataSubjectPolicy
Policy Management Services,fetchCompletePolicy
Policy Management Services,fetchFilteredConsentsForConsentTypeName
Policy Management Services,fetchFilteredConsentsForMultipleConsentTypeName
Policy Management Services,findConsentsForConsentType
Policy Management Services,isLawful
Policy Management Services,consentDumpAtConfiguredLocation
Purpose Services,addPurpose
Purpose Services,fetchAllPurposes
Purpose Services,fetchAllActivePurposesPendingForUser
Purpose Services,fetchAllPurposeTypes
Purpose Services,fetchAllApplicationTypes
Purpose Services,fetchAllActivePurposesWithConsent
Purpose Services,fetchAllActivePurposesWithStatus
Purpose Services,fetchAllActivePurposes
Purpose Services,fetchAllActiveBroadcastedPurposesForApp
Purpose Services,fetchAllActiveBroadcastedPurposes
Purpose Services,fetchAllActivePurposesTitles
Purpose Services,fetchAllActivePurposesIDs
Purpose Services,fetchThisPurposeWithPurposeId
Purpose Services,fetchThisPurposeWithPurposeDisplayId
Purpose Services,fetchThisImage
Purpose Services,deletePurpose
Purpose Services,sendPurposeForApproval
Purpose Services,broadcastPurpose
Purpose Services,returnPurposeAfterApproval
Purpose Services,fetchThisPurposeWithCommentForPurposeDisplayId
Request Management Services,downloadGDPRReport
Request Management Services,fetchGDPRReport
Request Management Services,readFile
Request Management Services,readZipOfPDFiles
Request Management Services,getZipDataFilePath
Request Management Services,getDataFilePath
Request Management Services,initiateDataAccessRequest
Request Management Services,getHashMapValuesToExportFile
